date,hour,cnt
2011-01-06,14,70
2011-01-06,15,62
2011-01-06,16,86
2011-01-06,17,172
2011-01-06,18,163
2011-01-06,19,112
2011-01-06,20,69
2011-01-06,21,48
2011-01-06,22,52
2011-01-06,23,23
2011-01-07,0,17
2011-01-07,1,7
2011-01-07,2,1
2011-01-07,3,0
2011-01-07,4,1
2011-01-07,5,5
2011-01-07,6,34
2011-01-07,7,84
2011-01-07,8,210
2011-01-07,9,134
2011-01-07,10,63
2011-01-07,11,67
2011-01-07,12,59
2011-01-07,13,73
2011-01-07,14,50
2011-01-07,15,72
2011-01-07,16,87
2011-01-07,17,187
2011-01-07,18,123
2011-01-07,19,95
2011-01-07,20,51
2011-01-07,21,39
2011-01-07,22,36
2011-01-07,23,15
2011-01-08,0,25
2011-01-08,1,16
2011-01-08,2,16
2011-01-08,3,7
2011-01-08,4,1
2011-01-08,5,5
2011-01-08,6,2
2011-01-08,7,9
2011-01-08,8,15
2011-01-08,9,20
2011-01-08,10,61
2011-01-08,11,62
2011-01-08,12,98
2011-01-08,13,102
2011-01-08,14,95
2011-01-08,15,74
2011-01-08,16,76
2011-01-08,17,69
2011-01-08,18,55
2011-01-08,19,30
2011-01-08,20,28
2011-01-08,21,37
2011-01-08,22,34
2011-01-08,23,22
2011-01-09,0,25
2011-01-09,1,12
2011-01-09,2,11
2011-01-09,3,4
2011-01-09,4,1
2011-01-09,5,1
2011-01-09,6,1
2011-01-09,7,6
2011-01-09,8,10
2011-01-09,9,19
2011-01-09,10,49
2011-01-09,11,49
2011-01-09,12,83
2011-01-09,13,75
2011-01-09,14,72
2011-01-09,15,82
2011-01-09,16,92
2011-01-09,17,62
2011-01-09,18,48
2011-01-09,19,41
2011-01-09,20,38
2011-01-09,21,20
2011-01-09,22,15
2011-01-09,23,6
2011-01-10,0,5
2011-01-10,1,1
2011-01-10,2,3
2011-01-10,3,1
2011-01-10,4,3
2011-01-10,5,3
2011-01-10,6,31
2011-01-10,7,77
2011-01-10,8,188
2011-01-10,9,94
2011-01-10,10,31
2011-01-10,11,30
2011-01-10,12,52
2011-01-10,13,54
2011-01-10,14,47
2011-01-10,15,45
2011-01-10,16,74
2011-01-10,17,178
2011-01-10,18,155
2011-01-10,19,95
2011-01-10,20,74
2011-01-10,21,38
2011-01-10,22,24
2011-01-10,23,18
2011-01-11,0,12
2011-01-11,1,3
2011-01-11,2,3
2011-01-11,3,0
2011-01-11,4,0
2011-01-11,5,6
2011-01-11,6,27
2011-01-11,7,99
2011-01-11,8,217
2011-01-11,9,130
2011-01-11,10,54
2011-01-11,11,35
2011-01-11,12,57
2011-01-11,13,52
2011-01-11,14,63
2011-01-11,15,47
2011-01-11,16,76
2011-01-11,17,136
2011-01-11,18,95
2011-01-11,19,51
2011-01-11,20,32
2011-01-11,21,20
2011-01-11,22,29
2011-01-11,23,19
2011-01-12,0,7
2011-01-12,1,6
2011-01-12,2,1
2011-01-12,3,0
2011-01-12,4,0
2011-01-12,5,5
2011-01-12,6,16
2011-01-12,7,54
2011-01-12,8,128
2011-01-12,9,81
2011-01-12,10,39
2011-01-12,11,35
2011-01-12,12,55
2011-01-12,13,49
2011-01-12,14,44
2011-01-12,15,49
2011-01-12,16,68
2011-01-12,17,139
2011-01-12,18,137
2011-01-12,19,83
2011-01-12,20,56
2011-01-12,21,57
2011-01-12,22,33
2011-01-12,23,20
2011-01-13,0,7
2011-01-13,1,2
2011-01-13,2,2
2011-01-13,3,3
2011-01-13,4,4
2011-01-13,5,3
2011-01-13,6,28
2011-01-13,7,72
2011-01-13,8,202
2011-01-13,9,139
2011-01-13,10,38
2011-01-13,11,37
2011-01-13,12,52
2011-01-13,13,83
2011-01-13,14,42
2011-01-13,15,60
2011-01-13,16,78
2011-01-13,17,162
2011-01-13,18,144
2011-01-13,19,99
2011-01-13,20,64
2011-01-13,21,40
2011-01-13,22,30
2011-01-13,23,15
2011-01-14,0,14
2011-01-14,1,5
2011-01-14,2,1
2011-01-14,3,1
2011-01-14,4,0
2011-01-14,5,8
2011-01-14,6,17
2011-01-14,7,70
2011-01-14,8,158
2011-01-14,9,117
2011-01-14,10,44
2011-01-14,11,53
2011-01-14,12,61
2011-01-14,13,77
2011-01-14,14,64
2011-01-14,15,68
2011-01-14,16,90
2011-01-14,17,159
2011-01-14,18,139
2011-01-14,19,92
2011-01-14,20,68
2011-01-14,21,52
2011-01-14,22,36
2011-01-14,23,27
2011-01-15,0,28
2011-01-15,1,20
2011-01-15,2,12
2011-01-15,3,8
2011-01-15,4,5
2011-01-15,5,1
2011-01-15,6,3
2011-01-15,7,10
2011-01-15,8,23
2011-01-15,9,33
2011-01-15,10,59
2011-01-15,11,72
2011-01-15,12,89
2011-01-15,13,101
2011-01-15,14,118
2011-01-15,15,129
2011-01-15,16,128
2011-01-15,17,83
2011-01-15,18,84
2011-01-15,19,74
2011-01-15,20,41
2011-01-15,21,57
2011-01-15,22,26
2011-01-15,23,44
2011-01-16,0,39
2011-01-16,1,23
2011-01-16,2,16
2011-01-16,3,15
2011-01-16,4,1
2011-01-16,5,2
2011-01-16,6,1
2011-01-16,7,3
2011-01-16,8,18
2011-01-16,9,32
2011-01-16,10,79
2011-01-16,11,93
2011-01-16,12,104
2011-01-16,13,118
2011-01-16,14,91
2011-01-16,15,113
2011-01-16,16,99
2011-01-16,17,105
2011-01-16,18,67
2011-01-16,19,61
2011-01-16,20,57
2011-01-16,21,28
2011-01-16,22,21
2011-01-16,23,18
2011-01-17,0,17
2011-01-17,1,16
2011-01-17,2,8
2011-01-17,3,2
2011-01-17,4,3
2011-01-17,5,1
2011-01-17,6,5
2011-01-17,7,13
2011-01-17,8,33
2011-01-17,9,47
2011-01-17,10,57
2011-01-17,11,64
2011-01-17,12,80
2011-01-17,13,93
2011-01-17,14,86
2011-01-17,15,93
2011-01-17,16,82
2011-01-17,17,71
2011-01-17,18,92
2011-01-17,19,60
2011-01-17,20,33
2011-01-17,21,27
2011-01-17,22,13
2011-01-17,23,4
2011-01-18,0,0
2011-01-18,1,0
2011-01-18,2,0
2011-01-18,3,0
2011-01-18,4,0
2011-01-18,5,0
2011-01-18,6,0
2011-01-18,7,0
2011-01-18,8,0
2011-01-18,9,0
2011-01-18,10,0
2011-01-18,11,0
2011-01-18,12,3
2011-01-18,13,22
2011-01-18,14,28
2011-01-18,15,35
2011-01-18,16,61
2011-01-18,17,125
2011-01-18,18,133
2011-01-18,19,99
2011-01-18,20,83
2011-01-18,21,41
2011-01-18,22,33
2011-01-18,23,20
2011-01-19,0,3
2011-01-19,1,7
2011-01-19,2,3
2011-01-19,3,0
2011-01-19,4,2
2011-01-19,5,7
2011-01-19,6,32
2011-01-19,7,90
2011-01-19,8,197
2011-01-19,9,109
2011-01-19,10,47
2011-01-19,11,52
2011-01-19,12,70
2011-01-19,13,78
2011-01-19,14,75
2011-01-19,15,82
2011-01-19,16,104
2011-01-19,17,197
2011-01-19,18,161
2011-01-19,19,112
2011-01-19,20,76
2011-01-19,21,59
2011-01-19,22,59
2011-01-19,23,28
2011-01-20,0,13
2011-01-20,1,5
2011-01-20,2,2
2011-01-20,3,1
2011-01-20,4,1
2011-01-20,5,6
2011-01-20,6,35
2011-01-20,7,101
2011-01-20,8,249
2011-01-20,9,143
2011-01-20,10,57
2011-01-20,11,68
2011-01-20,12,84
2011-01-20,13,98
2011-01-20,14,81
2011-01-20,15,70
2011-01-20,16,91
2011-01-20,17,215
2011-01-20,18,185
2011-01-20,19,152
2011-01-20,20,126
2011-01-20,21,57
2011-01-20,22,56
2011-01-20,23,31
2011-01-21,0,21
2011-01-21,1,6
2011-01-21,2,2
2011-01-21,3,1
2011-01-21,4,1
2011-01-21,5,5
2011-01-21,6,27
2011-01-21,7,68
2011-01-21,8,217
2011-01-21,9,166
2011-01-21,10,63
2011-01-21,11,59
2011-01-21,12,78
2011-01-21,13,73
2011-01-21,14,62
2011-01-21,15,65
2011-01-21,16,97
2011-01-21,17,161
2011-01-21,18,120
2011-01-21,19,96
2011-01-21,20,53
2011-01-21,21,41
2011-01-21,22,34
2011-01-21,23,27
2011-01-22,0,13
2011-01-22,1,12
2011-01-22,2,11
2011-01-22,3,7
2011-01-22,4,3
2011-01-22,5,0
2011-01-22,6,2
2011-01-22,7,8
2011-01-22,8,27
2011-01-22,9,40
2011-01-22,10,53
2011-01-22,11,63
2011-01-22,12,70
2011-01-22,13,84
2011-01-22,14,75
2011-01-22,15,103
2011-01-22,16,83
2011-01-22,17,67
2011-01-22,18,54
2011-01-22,19,59
2011-01-22,20,45
2011-01-22,21,39
2011-01-22,22,30
2011-01-22,23,33
2011-01-23,0,22
2011-01-23,1,13
2011-01-23,2,18
2011-01-23,3,5
2011-01-23,4,0
2011-01-23,5,3
2011-01-23,6,1
2011-01-23,7,2
2011-01-23,8,19
2011-01-23,9,28
2011-01-23,10,58
2011-01-23,11,99
2011-01-23,12,116
2011-01-23,13,87
2011-01-23,14,110
2011-01-23,15,77
2011-01-23,16,65
2011-01-23,17,55
2011-01-23,18,49
2011-01-23,19,50
2011-01-23,20,35
2011-01-23,21,25
2011-01-23,22,28
2011-01-23,23,21
2011-01-24,0,7
2011-01-24,1,1
2011-01-24,2,0
2011-01-24,3,1
2011-01-24,4,1
2011-01-24,5,5
2011-01-24,6,15
2011-01-24,7,84
2011-01-24,8,177
2011-01-24,9,102
2011-01-24,10,40
2011-01-24,11,46
2011-01-24,12,63
2011-01-24,13,60
2011-01-24,14,45
2011-01-24,15,57
2011-01-24,16,70
2011-01-24,17,184
2011-01-24,18,153
2011-01-24,19,106
2011-01-24,20,81
2011-01-24,21,59
2011-01-24,22,35
2011-01-24,23,24
2011-01-25,0,9
2011-01-25,1,5
2011-01-25,2,2
2011-01-25,3,0
2011-01-25,4,1
2011-01-25,5,9
2011-01-25,6,36
2011-01-25,7,108
2011-01-25,8,238
2011-01-25,9,144
2011-01-25,10,55
2011-01-25,11,61
2011-01-25,12,106
2011-01-25,13,93
2011-01-25,14,68
2011-01-25,15,84
2011-01-25,16,116
2011-01-25,17,222
2011-01-25,18,225
2011-01-25,19,146
2011-01-25,20,119
2011-01-25,21,45
2011-01-25,22,53
2011-01-25,23,40
2011-01-26,0,17
2011-01-26,1,5
2011-01-26,2,10
2011-01-26,3,0
2011-01-26,4,0
2011-01-26,5,1
2011-01-26,6,8
2011-01-26,7,30
2011-01-26,8,72
2011-01-26,9,58
2011-01-26,10,28
2011-01-26,11,41
2011-01-26,12,48
2011-01-26,13,47
2011-01-26,14,36
2011-01-26,15,43
2011-01-26,16,36
2011-01-26,17,26
2011-01-26,18,0
2011-01-26,19,0
2011-01-26,20,0
2011-01-26,21,0
2011-01-26,22,0
2011-01-26,23,0
2011-01-27,0,0
2011-01-27,1,0
2011-01-27,2,0
2011-01-27,3,0
2011-01-27,4,0
2011-01-27,5,0
2011-01-27,6,0
2011-01-27,7,0
2011-01-27,8,0
2011-01-27,9,0
2011-01-27,10,0
2011-01-27,11,0
2011-01-27,12,0
2011-01-27,13,0
2011-01-27,14,0
2011-01-27,15,0
2011-01-27,16,24
2011-01-27,17,84
2011-01-27,18,104
2011-01-27,19,79
2011-01-27,20,59
2011-01-27,21,38
2011-01-27,22,27
2011-01-27,23,16
2011-01-28,0,9
2011-01-28,1,3
2011-01-28,2,2
2011-01-28,3,1
2011-01-28,4,0
2011-01-28,5,4
2011-01-28,6,16
2011-01-28,7,60
2011-01-28,8,157
2011-01-28,9,101
2011-01-28,10,49
2011-01-28,11,30
2011-01-28,12,29
2011-01-28,13,31
2011-01-28,14,38
2011-01-28,15,41
2011-01-28,16,80
2011-01-28,17,149
2011-01-28,18,109
2011-01-28,19,89
2011-01-28,20,62
2011-01-28,21,58
2011-01-28,22,26
2011-01-28,23,23
2011-01-29,0,28
2011-01-29,1,20
2011-01-29,2,15
2011-01-29,3,8
2011-01-29,4,3
2011-01-29,5,0
2011-01-29,6,2
2011-01-29,7,5
2011-01-29,8,34
2011-01-29,9,34
2011-01-29,10,55
2011-01-29,11,64
2011-01-29,12,78
2011-01-29,13,65
2011-01-29,14,99
2011-01-29,15,120
2011-01-29,16,107
2011-01-29,17,91
2011-01-29,18,68
2011-01-29,19,58
2011-01-29,20,43
2011-01-29,21,36
2011-01-29,22,32
2011-01-29,23,33
2011-01-30,0,33
2011-01-30,1,29
2011-01-30,2,11
2011-01-30,3,8
2011-01-30,4,1
2011-01-30,5,3
2011-01-30,6,0
2011-01-30,7,3
2011-01-30,8,12
2011-01-30,9,38
2011-01-30,10,64
2011-01-30,11,59
2011-01-30,12,97
2011-01-30,13,84
2011-01-30,14,122
2011-01-30,15,109
2011-01-30,16,123
2011-01-30,17,77
2011-01-30,18,65
2011-01-30,19,55
2011-01-30,20,33
2011-01-30,21,28
2011-01-30,22,21
2011-01-30,23,21
2011-01-31,0,7
2011-01-31,1,7
2011-01-31,2,1
2011-01-31,3,2
2011-01-31,4,2
2011-01-31,5,8
2011-01-31,6,37
2011-01-31,7,72
2011-01-31,8,185
2011-01-31,9,112
2011-01-31,10,69
2011-01-31,11,48
2011-01-31,12,68
2011-01-31,13,54
2011-01-31,14,86
2011-01-31,15,44
2011-01-31,16,86
2011-01-31,17,161
2011-01-31,18,156
2011-01-31,19,111
2011-01-31,20,78
2011-01-31,21,56
2011-01-31,22,34
2011-01-31,23,17
2011-02-01,0,8
2011-02-01,1,3
2011-02-01,2,2
2011-02-01,3,2
2011-02-01,4,0
2011-02-01,5,3
2011-02-01,6,22
2011-02-01,7,52
2011-02-01,8,135
2011-02-01,9,116
2011-02-01,10,47
2011-02-01,11,51
2011-02-01,12,55
2011-02-01,13,52
2011-02-01,14,54
2011-02-01,15,52
2011-02-01,16,64
2011-02-01,17,176
2011-02-01,18,168
2011-02-01,19,108
2011-02-01,20,74
2011-02-01,21,64
2011-02-01,22,36
2011-02-01,23,16
2011-02-02,0,2
2011-02-02,1,3
2011-02-02,2,4
2011-02-02,3,1
2011-02-02,4,1
2011-02-02,5,3
2011-02-02,6,18
2011-02-02,7,49
2011-02-02,8,155
2011-02-02,9,123
2011-02-02,10,61
2011-02-02,11,52
2011-02-02,12,64
2011-02-02,13,75
2011-02-02,14,63
2011-02-02,15,76
2011-02-02,16,103
2011-02-02,17,190
2011-02-02,18,182
2011-02-02,19,91
2011-02-02,20,75
2011-02-02,21,63
2011-02-02,22,40
2011-02-02,23,32
2011-02-03,0,12
2011-02-03,1,5
2011-02-03,2,2
2011-02-03,3,1
2011-02-03,4,0
2011-02-03,5,2
2011-02-03,6,39
2011-02-03,7,87
2011-02-03,8,188
2011-02-03,9,133
2011-02-03,10,52
2011-02-03,11,64
2011-02-03,12,69
2011-02-03,13,51
2011-02-03,14,47
2011-02-03,15,60
2011-02-03,16,78
2011-02-03,17,175
2011-02-03,18,147
2011-02-03,19,96
2011-02-03,20,109
2011-02-03,21,54
2011-02-03,22,41
2011-02-03,23,38
2011-02-04,0,13
2011-02-04,1,7
2011-02-04,2,1
2011-02-04,3,1
2011-02-04,4,0
2011-02-04,5,7
2011-02-04,6,28
2011-02-04,7,87
2011-02-04,8,220
2011-02-04,9,127
2011-02-04,10,51
2011-02-04,11,64
2011-02-04,12,86
2011-02-04,13,82
2011-02-04,14,91
2011-02-04,15,90
2011-02-04,16,99
2011-02-04,17,205
2011-02-04,18,155
2011-02-04,19,103
2011-02-04,20,71
2011-02-04,21,43
2011-02-04,22,46
2011-02-04,23,31
2011-02-05,0,39
2011-02-05,1,18
2011-02-05,2,17
2011-02-05,3,11
2011-02-05,4,8
2011-02-05,5,9
2011-02-05,6,4
2011-02-05,7,4
2011-02-05,8,10
2011-02-05,9,20
2011-02-05,10,34
2011-02-05,11,47
2011-02-05,12,52
2011-02-05,13,72
2011-02-05,14,55
2011-02-05,15,60
2011-02-05,16,71
2011-02-05,17,78
2011-02-05,18,83
2011-02-05,19,84
2011-02-05,20,69
2011-02-05,21,56
2011-02-05,22,45
2011-02-05,23,59
2011-02-06,0,39
2011-02-06,1,44
2011-02-06,2,20
2011-02-06,3,13
2011-02-06,4,2
2011-02-06,5,1
2011-02-06,6,1
2011-02-06,7,8
2011-02-06,8,23
2011-02-06,9,45
2011-02-06,10,89
2011-02-06,11,117
2011-02-06,12,174
2011-02-06,13,182
2011-02-06,14,161
2011-02-06,15,182
2011-02-06,16,157
2011-02-06,17,121
2011-02-06,18,78
2011-02-06,19,21
2011-02-06,20,26
2011-02-06,21,27
2011-02-06,22,62
2011-02-06,23,30
2011-02-07,0,15
2011-02-07,1,5
2011-02-07,2,3
2011-02-07,3,1
2011-02-07,4,2
2011-02-07,5,10
2011-02-07,6,30
2011-02-07,7,95
2011-02-07,8,230
2011-02-07,9,118
2011-02-07,10,55
2011-02-07,11,47
2011-02-07,12,66
2011-02-07,13,64
2011-02-07,14,60
2011-02-07,15,50
2011-02-07,16,114
2011-02-07,17,216
2011-02-07,18,175
2011-02-07,19,128
2011-02-07,20,88
2011-02-07,21,78
2011-02-07,22,37
2011-02-07,23,25
2011-02-08,0,10
2011-02-08,1,4
2011-02-08,2,2
2011-02-08,3,1
2011-02-08,4,3
2011-02-08,5,2
2011-02-08,6,39
2011-02-08,7,100
2011-02-08,8,243
2011-02-08,9,135
2011-02-08,10,48
2011-02-08,11,50
2011-02-08,12,65
2011-02-08,13,50
2011-02-08,14,64
2011-02-08,15,51
2011-02-08,16,83
2011-02-08,17,176
2011-02-08,18,152
2011-02-08,19,101
2011-02-08,20,56
2011-02-08,21,54
2011-02-08,22,29
2011-02-08,23,12
2011-02-09,0,17
2011-02-09,1,7
2011-02-09,2,3
2011-02-09,3,2
2011-02-09,4,0
2011-02-09,5,7
2011-02-09,6,43
2011-02-09,7,99
2011-02-09,8,199
2011-02-09,9,123
2011-02-09,10,59
2011-02-09,11,41
2011-02-09,12,61
2011-02-09,13,69
2011-02-09,14,58
2011-02-09,15,64
2011-02-09,16,79
2011-02-09,17,166
2011-02-09,18,170
2011-02-09,19,88
2011-02-09,20,84
2011-02-09,21,83
2011-02-09,22,46
2011-02-09,23,37
2011-02-10,0,16
2011-02-10,1,7
2011-02-10,2,3
2011-02-10,3,0
2011-02-10,4,1
2011-02-10,5,6
2011-02-10,6,26
2011-02-10,7,99
2011-02-10,8,178
2011-02-10,9,122
2011-02-10,10,35
2011-02-10,11,45
2011-02-10,12,69
2011-02-10,13,62
2011-02-10,14,48
2011-02-10,15,50
2011-02-10,16,80
2011-02-10,17,165
2011-02-10,18,160
2011-02-10,19,112
2011-02-10,20,97
2011-02-10,21,72
2011-02-10,22,51
2011-02-10,23,34
2011-02-11,0,14
2011-02-11,1,7
2011-02-11,2,3
2011-02-11,3,0
2011-02-11,4,0
2011-02-11,5,4
2011-02-11,6,24
2011-02-11,7,74
2011-02-11,8,216
2011-02-11,9,140
2011-02-11,10,44
2011-02-11,11,64
2011-02-11,12,71
2011-02-11,13,110
2011-02-11,14,84
2011-02-11,15,74
2011-02-11,16,125
2011-02-11,17,211
2011-02-11,18,174
2011-02-11,19,101
2011-02-11,20,63
2011-02-11,21,47
2011-02-11,22,43
2011-02-11,23,53
2011-02-12,0,30
2011-02-12,1,24
2011-02-12,2,15
2011-02-12,3,10
2011-02-12,4,4
2011-02-12,5,1
2011-02-12,6,2
2011-02-12,7,11
2011-02-12,8,30
2011-02-12,9,43
2011-02-12,10,84
2011-02-12,11,114
2011-02-12,12,120
2011-02-12,13,135
2011-02-12,14,120
2011-02-12,15,174
2011-02-12,16,145
2011-02-12,17,137
2011-02-12,18,64
2011-02-12,19,41
2011-02-12,20,40
2011-02-12,21,51
2011-02-12,22,45
2011-02-12,23,32
2011-02-13,0,39
2011-02-13,1,24
2011-02-13,2,20
2011-02-13,3,12
2011-02-13,4,2
2011-02-13,5,0
2011-02-13,6,5
2011-02-13,7,3
2011-02-13,8,12
2011-02-13,9,47
2011-02-13,10,105
2011-02-13,11,112
2011-02-13,12,152
2011-02-13,13,154
2011-02-13,14,161
2011-02-13,15,162
2011-02-13,16,134
2011-02-13,17,125
2011-02-13,18,95
2011-02-13,19,61
2011-02-13,20,47
2011-02-13,21,51
2011-02-13,22,36
2011-02-13,23,30
2011-02-14,0,11
2011-02-14,1,7
2011-02-14,2,2
2011-02-14,3,2
2011-02-14,4,2
2011-02-14,5,3
2011-02-14,6,26
2011-02-14,7,98
2011-02-14,8,256
2011-02-14,9,130
2011-02-14,10,55
2011-02-14,11,53
2011-02-14,12,126
2011-02-14,13,120
2011-02-14,14,90
2011-02-14,15,90
2011-02-14,16,118
2011-02-14,17,243
2011-02-14,18,205
2011-02-14,19,98
2011-02-14,20,70
2011-02-14,21,43
2011-02-14,22,45
2011-02-14,23,20
2011-02-15,0,19
2011-02-15,1,5
2011-02-15,2,3
2011-02-15,3,0
2011-02-15,4,1
2011-02-15,5,4
2011-02-15,6,30
2011-02-15,7,105
2011-02-15,8,223
2011-02-15,9,110
2011-02-15,10,52
2011-02-15,11,57
2011-02-15,12,71
2011-02-15,13,82
2011-02-15,14,79
2011-02-15,15,85
2011-02-15,16,98
2011-02-15,17,206
2011-02-15,18,212
2011-02-15,19,145
2011-02-15,20,101
2011-02-15,21,66
2011-02-15,22,41
2011-02-15,23,20
2011-02-16,0,15
2011-02-16,1,9
2011-02-16,2,0
2011-02-16,3,1
2011-02-16,4,1
2011-02-16,5,5
2011-02-16,6,33
2011-02-16,7,108
2011-02-16,8,230
2011-02-16,9,124
2011-02-16,10,69
2011-02-16,11,66
2011-02-16,12,86
2011-02-16,13,93
2011-02-16,14,82
2011-02-16,15,117
2011-02-16,16,122
2011-02-16,17,255
2011-02-16,18,222
2011-02-16,19,161
2011-02-16,20,118
2011-02-16,21,92
2011-02-16,22,73
2011-02-16,23,33
2011-02-17,0,17
2011-02-17,1,6
2011-02-17,2,6
2011-02-17,3,4
2011-02-17,4,4
2011-02-17,5,12
2011-02-17,6,47
2011-02-17,7,126
2011-02-17,8,285
2011-02-17,9,179
2011-02-17,10,88
2011-02-17,11,90
2011-02-17,12,101
2011-02-17,13,123
2011-02-17,14,81
2011-02-17,15,106
2011-02-17,16,146
2011-02-17,17,274
2011-02-17,18,222
2011-02-17,19,175
2011-02-17,20,139
2011-02-17,21,124
2011-02-17,22,76
2011-02-17,23,44
2011-02-18,0,32
2011-02-18,1,8
2011-02-18,2,7
2011-02-18,3,8
2011-02-18,4,1
2011-02-18,5,7
2011-02-18,6,50
2011-02-18,7,116
2011-02-18,8,272
2011-02-18,9,169
2011-02-18,10,95
2011-02-18,11,113
2011-02-18,12,185
2011-02-18,13,176
2011-02-18,14,191
2011-02-18,15,172
2011-02-18,16,232
2011-02-18,17,327
2011-02-18,18,224
2011-02-18,19,162
2011-02-18,20,124
2011-02-18,21,72
2011-02-18,22,107
2011-02-18,23,77
2011-02-19,0,29
2011-02-19,1,31
2011-02-19,2,17
2011-02-19,3,7
2011-02-19,4,3
2011-02-19,5,3
2011-02-19,6,6
2011-02-19,7,22
2011-02-19,8,45
2011-02-19,9,55
2011-02-19,10,106
2011-02-19,11,123
2011-02-19,12,119
2011-02-19,13,155
2011-02-19,14,196
2011-02-19,15,171
2011-02-19,16,120
2011-02-19,17,127
2011-02-19,18,88
2011-02-19,19,59
2011-02-19,20,47
2011-02-19,21,33
2011-02-19,22,44
2011-02-19,23,29
2011-02-20,0,17
2011-02-20,1,16
2011-02-20,2,17
2011-02-20,3,18
2011-02-20,4,1
2011-02-20,5,0
2011-02-20,6,2
2011-02-20,7,2
2011-02-20,8,24
2011-02-20,9,55
2011-02-20,10,104
2011-02-20,11,161
2011-02-20,12,182
2011-02-20,13,198
2011-02-20,14,212
2011-02-20,15,168
2011-02-20,16,147
2011-02-20,17,146
2011-02-20,18,101
2011-02-20,19,42
2011-02-20,20,42
2011-02-20,21,56
2011-02-20,22,47
2011-02-20,23,54
2011-02-21,0,37
2011-02-21,1,13
2011-02-21,2,4
2011-02-21,3,5
2011-02-21,4,1
2011-02-21,5,3
2011-02-21,6,8
2011-02-21,7,19
2011-02-21,8,63
2011-02-21,9,57
2011-02-21,10,81
2011-02-21,11,90
2011-02-21,12,93
2011-02-21,13,103
2011-02-21,14,116
2011-02-21,15,87
2011-02-21,16,56
2011-02-21,17,80
2011-02-21,18,66
2011-02-21,19,49
2011-02-21,20,29
2011-02-21,21,34
2011-02-21,22,11
2011-02-21,23,2
2011-02-22,0,0
2011-02-22,1,0
2011-02-22,2,0
2011-02-22,3,0
2011-02-22,4,0
2011-02-22,5,0
2011-02-22,6,7
2011-02-22,7,40
2011-02-22,8,114
2011-02-22,9,106
2011-02-22,10,44
2011-02-22,11,50
2011-02-22,12,55
2011-02-22,13,55
2011-02-22,14,58
2011-02-22,15,69
2011-02-22,16,86
2011-02-22,17,196
2011-02-22,18,167
2011-02-22,19,118
2011-02-22,20,105
2011-02-22,21,82
2011-02-22,22,77
